title,release_year,adjusted_domestic_gross
Acharya,2022,1516681.9268875981
Standing in the Shadows of Motown,2002,2823713.956642579
El Vacilón: The Movie,2005,2725856.049155146
Suicide Kings,1998,3265269.6736196317
Jesus' Son,2000,2340808.418118467
Slamma Jamma,2017,2163985.312117503
Texas Killing Fields,2011,63564.99777678967
Steel,1997,3303509.5177570092
"Men, Women and Children",2014,937631.9188846641
All The Beauty And The Bloodshed,2022,537156.750256235
Race the Sun,1996,3369800.917782027
Mohenjo Daro,2016,1656284.0899999999
Matewan,1987,4650568.267605634
Red Rocket,2021,1206398.0457564574
Bring on the Night,1985,4896251.130111524
Equity,2016,2103156.53
Nothing Left to Fear,2013,10641.023175965664
The Legend of Johnny Lingo,2003,2860351.3956521736
Deadfall,2012,90856.94425087106
Prick Up Your Ears,1987,4579676.049295775
Fantastic Fungi,2019,1935009.658193195
Walk with me,2017,932031.1676866586
Waka Okami wa Shogakusei!,2018,168765.56272401434
Talento de Barrio,2008,2434729.371110079
Liam,2001,1803709.7820440428
Breakaway,2011,2071398.3281458423
Bar Bahar,2016,141449.87
Subway,1985,1141479.4572490705
Chillar Party,2011,8849.052912405512
Les doigts croches,2009,2436761.2307692305
Factory Girl,2007,2519846.9927641097
"The Book of Mormon Movie, Volume 1: T…",2003,2837912.8043478257
Out on a Limb,1992,3718888.13114754
The Comedian,2017,2127691.417380661
L'Économie du Couple,2016,17843.51
Retour à Séoul,2022,857992.9812094294
Even Cowgirls Get the Blues,1994,3499972.08097166
Festen,1998,3178294.674846626
The Letters,2015,2185432.870886076
The Little Hours,2017,2112900.122399021
Marci X,2003,2813647.617391304
Teddybjørnens jul,2022,41840.87188247352
Astérix et Obélix contre César,1999,3102595.822328931
Nate and Hayes,1983,5186406.795180723
Spider,2003,2805316.017391304
Body Rock,1984,4959976.215591915
Midnight's Children,2012,1162629.5644599302
Gun Shy,2000,2991002.954703833
Flammen og Citronen,2009,217059.12167832165
Hermano,2010,43050.167812929845
Consecration,2023,555695.5510338037
"Plaire, aimer et courir vite",2018,38293.94504181601
The Dawn Wall,2018,1298446.9581839903
Den skaldede frisør,2013,2201212.9030042915
Secuestro Express,2005,486581.08755760366
Bacheha-Ye aseman,1999,1762476.2016806721
Last Flag Flying,2017,1238462.776009792
Brain Dead,1990,3916060.0765110943
The Retirement Plan,2023,1658513.1394814572
The Gingerbread Man,1998,3137428.461349693
Bhaag Milkha Bhaag,2013,2194443.182832618
Vertical Reality,1994,3436224.4048582995
Carlos,2010,209781.6341127923
Parkland,2013,865529.7064377682
Walking and Talking,1996,2579883.4416826004
Kajillionaire,2020,645601.2055641421
Oscar and Lucinda,1998,3111126.8760736194
Oye Lucky! Lucky Oye!,2008,116877.06827682303
National Gallery,2014,337300.5931558935
Noma: My Perfect Storm,2015,28030.683544303796
Embrace,2016,540165.3999999999
The Blue Butterfly,2004,2679962.9094759133
It Might Get Loud,2009,2360071.0825174823
Safe Passage,1994,3409182.186234818
Route 60: The Biblical Highway,2023,1657476.1457170988
The Disappearance of Alice Creed,2010,240708.44566712517
Dogtown and Z-Boys,2002,2260210.9394107834
Infinite Storm,2022,1719201.9296207721
La Florida,1993,3481245.6747404845
Jonathan Livingston Seagull,1973,11329729.729729729
Chasers,1994,3387331.174089069
The Music of Strangers: Yo-Yo Ma and …,2016,1531670.3399999999
The Kid,2019,1854914.5060617912
EO,2022,1148395.6788520669
Rhyme & Reason,1997,3117921.4504672894
I Am,2011,2224193.3730546907
Midnight Meat Train,2008,107401.25963771481
Oro,2017,7105.106487148103
Le Concert,2010,1334879.5488308114
Pájaros de verano,2019,623708.3676183027
The End of Evangelion,1997,2551047.476635514
Romance,1999,2992352.009603841
Making Mr. Right,1987,4386571.901408451
Project Nim,2011,574816.5833703867
Seethamma Vakitlo Sirimalle Chettu,2013,2135323.838626609
Student Bodies,1981,5472247.867986798
Ju Dou (菊豆),1990,3804596.015302219
The Alpinist,2021,980026.565313653
The Stray,2017,2026013.6107711138
Solarbabies,1986,4530285.98540146
Nine Lives,2005,770835.391705069
Weekend,2011,677437.6380613605
Jai Ho,2014,1577002.2408111533
Teen Spirit,2019,542688.5819319515
Kikujiro,2000,361939.7630662021
Dus Kahaniyaan,2007,332252.3994211288
Heavenly Bodies,1985,4579797.0111524165
New York New York,2016,121013.86999999998
Another Woman,1988,4153239.945900253
To the Wonder,2013,788783.7218884119
A Handful of Dust,1988,4147794.420963651
Twenty One Pilots: Cinema Experience,2022,939870.1742398359
"Bless Me, Ultima",2013,2104396.593991416
French Exit,2021,860707.7047970479
Persecuted,2014,2068762.6261089987
Goodrich,2024,1351840.0
City of Industry,1997,3044759.2971962616
The Son,2022,482985.85582507687
Late Marriage,2002,2711407.270705947
Soldiers of Fortune,2012,53264.50871080139
Chocolate: Deep Dark Secrets,2005,78881.72043010753
"Dédé, à travers les brumes",2009,2270214.2433566432
Laavor et hakir,2016,1850249.2399999998
Two Moon Junction,1988,4112439.7024513944
Fed Up,2014,2044062.2357414449
The Bay,2012,41994.85714285714
The Statement,2003,1308240.6130434782
One False Move,1991,3561814.9779735687
The Lords of Salem,2013,1573188.7828326179
Rampart,2012,1327215.7735191637
Year of the Dog,2007,2335843.3690303904
Three for the Road,1987,4259345.070422536
Gyokou no Nikuko-chan,2021,34599.08191881918
Man of God,2021,1067986.6361623614
Marie: A True Story,1985,4492907.486988847
Blonde Ambition,2007,9739.878437047755
Testament,1983,4852120.048192771
Eros,2005,303047.4715821812
Yardie,2018,44614.49940262843
Requiem,2006,14971.42857142857
Tacones lejanos,1991,3533978.343612335
Dylda,2019,241312.14391865468
Le jeune Ahmed,2019,26178.687524442706
The Hottie and the Nottie,2008,40444.13562470971
A Midnight Clear,1992,3421194.132573057
The Met: Live in HD - Tannhauser,2015,1525569.6202531646
Efter brylluppet,2007,2314941.001447178
Le meraviglie,2015,93928.6582278481
Girlfight,2000,2782387.0522648087
Kuru Otlar Üstüne,2023,122775.93436166721
The Stepfather 2,1989,3853418.24516129
Sur le chemin de l'ecole,2013,10017.620600858369
Oddity,2024,1200477.0
Synchronic,2020,773454.3709428129
The Cove,2009,1274793.0629370627
Life is Sweet,1991,3499488.986784141
"I, The Jury",1982,4937800.240414508
Oasis: Supersonic,2016,318155.76999999996
Trade,2007,324867.8668596237
Paheli (Puzzle),2005,2269055.2258064514
Running The Bases,2022,1624074.1783395968
Burke & Hare,2011,6756.314806580702
Disconnect,2013,1938838.681545064
Alimañas,2023,500.4397768296686
Lion of the Desert,1980,5723300.970873786
Kollektivet,2016,50745.469999999994
Time Changer,2002,2622698.9349638685
Lianna,1983,4734939.759036145
Salvador,1986,4302919.708029197
The Only Game in Town,1970,12154639.175257731
At Long Last Love,1975,8765799.256505575
Finders Keepers,1984,4538979.78825794
Misunderstood,1984,4538979.78825794
Atharintiki Daaredi,2013,2024034.3347639483
Priceless,2016,1964482.5499999998
M. Butterfly,1993,3261046.0069204154
A Dangerous Woman,1993,3257623.5072664362
The Center of the World,2001,1945759.643139469
The Invisible Woman,2013,1664224.4497854074
Yves Saint Laurent,2014,961122.2610899872
Bubba Ho-Tep,2003,2117386.604347826
Gonzo: The Life and Work of Dr. Hunte…,2008,1828426.5675801206
Zebrahead,1992,3330667.997148966
Wild Mountain Thyme,2020,259296.17619783612
Josh and S.A.M.,1993,3229734.3778546713
My Friend Dahmer,2017,1746595.2607099144
Mandy,2018,1544696.908004779
Spoiler Alert,2022,1486609.3037239492
Clockwise,1986,4235094.218978102
Dicks: The Musical,2023,1499268.0433212996
Rory O'Shea Was Here,2005,38384.81105990783
Patti Cake$,2017,1026383.2362301102
Sunset Song,2015,211873.76202531645
Sky Bandits,1986,4212558.394160584
Enter the Void,2010,487236.3906464924
2000 Mules,2022,1574161.1643320806
She Hate Me,2004,607719.0555849656
Miles Davis: Birth of the Cool,2019,755200.6038326164
Mister Johnson,1990,3521664.8814078043
The Call,2020,627487.975270479
Little Women,2018,1727255.502986858
Beyond a Reasonable Doubt,2009,48247.57482517482
Being Human,1994,3099873.6842105263
Trois souvenirs de ma jeunesse,2015,357041.66075949365
Beautiful Thing,1996,2926178.309751434
Wish You Were Here,2012,56401.66202090592
The Other Woman,2011,35540.20097821253
Spirited Away: Live on Stage,2023,1501402.9090909092
Special Chabbis,2013,1438330.0738197423
Transit,2018,1020817.1087216248
Gerhard Richter Painting,2012,332264.38327526127
Met Opera — Agrippina,2020,1397063.3693972176
Joe Strummer: The Future is Unwritten,2007,376403.3806078147
Under the Sand,2001,2574327.083003952
Happy Endings,2005,2118056.2949308753
Shadow of the Wolf,1993,3151919.8339100345
Sweet Sixteen,2002,532463.2262367981
Ki & Ka,2016,1123961.66
Northfork,2003,2427335.452173913
Belizaire the Cajun,1986,4144050.1751824818
Greenfingers,2001,2555120.4562394125
Le chat du rabbin,2012,5889.522648083623
Together Together,2021,1666347.8435424352
Down by Law,1986,4119328.4671532847
Libertador,2014,150182.78326996198
Farinelli,1995,2960078.0629921257
No End In Sight,2007,2173832.578871201
A Prayer for the Dying,1987,3965112.6126760566
The Man from Elysian Fields,2002,2501961.645358532
In God's Hands,1998,2760622.954601227
Greed,2020,431641.55795981444
Restrepo,2010,1918537.7056396147
I Hope They Serve Beer in Hell,2009,2094972.52027972
Louder Than Bombs,2015,217304.78987341773
Garbo Talks,1984,4318409.578440808
Poulet aux prunes ,2012,347407.8919860627
The Chaperone,2019,738543.6746186938
Kill,2024,1171487.0
Les Chansons d'Amour,2008,151826.14026939153
Panic,2000,1422535.8466898955
Paradies: Liebe,2012,32601.198606271773
Still Life,2013,12793.24635193133
Thr3e,2007,1530063.3169319825
American Flyers,1985,4150182.2676579924
Kandahar,2001,2517887.756070017
Polytechnique,2009,2078856.7720279717
Wendy and Lucy,2008,1264163.9944263818
Ginger & Rosa,2012,1387102.400696864
Where the Truth Lies,2005,1404001.253456221
I’ve Heard the Mermaids Singing,1987,3917078.0492957747
Summerland,2020,70987.82689335392
The Field,1991,3264074.484581498
Vincere,2010,892547.1471801925
The Funeral,1996,2430235.8546845126
Lazer Team,2016,1554218.0599999998
Metropolis,2002,1176883.6108949415
El Chicano,2019,1722133.6847868597
Birdy,1984,4236381.13570741
You Gotta Believe,2024,1398975.0
13B,2009,18246.92587412587
Hope Gap,2019,128774.8955807587
Ushpizin,2005,2250542.168970814
The Hows of Us,2018,1560661.0657108722
Surveillance,2009,40086.36643356643
The Last of the Finest,1990,3357354.197398623
Jesus Camp,2006,1407538.857142857
Leonard Cohen: I'm Your Man,2006,1628538.9761904762
Courage Mountain,1990,3352341.117061974
Underdogs,2013,47250.406866952784
X Games 3D: The Movie,2009,2039472.492307692
Give My Regards to Broad Street,1984,4198374.744947064
The U.S. vs John Lennon,2006,1729739.5952380951
Joe Gould's Secret,2000,1172186.1742160278
Romeo et Juliette,2006,2162407.6428571427
"For a Good Time, Call",2012,1714067.4459930311
Book of Love,1990,3325036.18668707
Bully,2001,1565474.1140598531
Certain Fury,1985,4035455.4869888476
'Luv Shuv Tey Chicken Khurana,2012,197047.73519163762
Gekijôban Fairy Tail: Dragon Cry,2017,666334.305997552
The Claim,2000,1135679.6236933798
Night Moves,2014,360962.2813688213
Przysięga Ireny,2024,1193687.0
Daddy's Dyin'… Who's Got the Will?,1990,3304514.791124713
Revenge,2018,124203.65113500597
Kynodontas,2010,158926.96561210454
South Central,1992,3077211.848895224
Baar Baar Dekho,2016,1286350.5699999998
Vindicating Trump,2024,1372091.0
The Forgiven,2022,365445.154765972
Dot the I,2005,492968.8970814132
"Yes, Giorgio",1982,4458902.250777202
Little Nemo: Adventures in Slumberland,1992,3066038.6600142545
Joshua,2002,2388553.947748749
American Desi,2001,1602774.274421231
Julia,2009,95431.02657342656
Dishoom,2016,1064685.47
The Kings of Summer,2013,1775078.1115879826
Andra Sidan,2021,1171.7490774907747
Strange Invaders,1983,4300281.759036145
Elser,2015,206810.19746835442
Leaving Normal,1992,3050401.573770491
Gimme Shelter,2014,1806318.9860583015
Spanking the Monkey,1994,2884622.12145749
Turtle: The Incredible Journey,2011,547917.1400622498
Sorceress,1982,4426986.578238342
Something to Stand for with Mike Rowe,2024,1358690.0
The Offspring,1987,3752120.4507042253
Bastarden,2024,257749.0
The Secrets of Jonathan Sperry,2009,1986185.7230769228
Kansas City,1996,2712825.1472275336
The City of Your Final Destination,2010,711106.2008253095
Exposed,1983,4268021.036144579
Le Redoutable,2017,105523.46634026928
Ponette,1997,2647069.7420560746
2 Hearts,2020,1639161.0880989179
Platoon Leader,1988,3584561.305156382
Mean Creek,2004,1005199.5468501853
The Cokeville Miracle,2015,1789068.6582278481
At Play in the Fields of the Lord,1991,3099917.057268723
Fatman,2020,338184.09273570316
"No Eres Tu, Soy Yo",2011,1873134.8083592704
A Dirty Shame,2004,2229706.824775013
GoBots: Battle of the Rock Lords,1986,3838961.693430657
The Little Death,2014,24224.87198986058
Stefan Zweig: Farewell to Europe,2016,102668.62999999999
Forces spéciales,2012,14732.70731707317
Henry Fool,1998,2574581.0944785275
France,2021,57254.444280442796
The Navigator: A Medieval Odyssey,1989,3380760.948387096
Alexandra's Project,2003,1281933.5347826087
Kôkaku Kidôtai,2015,134254.1063291139
In the Earth,2021,1292081.9070110698
Les adieux à la reine,2012,1820753.9372822298
In Search of a Midnight Kiss,2008,251428.0018578727
Ilo Ilo,2013,72961.04034334763
Jing ke ci qin wang,1999,2506962.569027611
The Ultimate Life,2013,1791730.5167381973
Deux,2020,6675.533230293662
La proie,2013,8514.437768240343
Divided We Fall,2001,2343552.8673066064
Black,2005,1215131.0476190476
Swimming With Men,2018,31162.035842293906
The Work and the Glory III: A House D…,2006,2066512.5238095238
Damsels in Distress,2012,1379655.9407665504
Sarah Silverman: Jesus is Magic,2005,2131809.0814132104
Travellers and Magicians,2005,815851.0967741935
Air Racers 3D,2012,1793814.951219512
Le hussard sur le toit,1996,2645133.965583174
Dancer,2016,81977.18
Warriors of Heaven and Earth,2004,137114.3504499735
Elles,2012,215570.77003484318
Les Cowboys,2015,97802.27848101266
Catfish in Black Bean Sauce,2000,2401952.0975609757
One Tough Cop,1998,2533730.3116564415
The Stoning of Soraya M.,2009,961332.5986013985
Chung hing sam lam,1995,684919.5748031496
Baby It's You,1983,4142987.060240964
Waltair Veerayya,2023,1114381.3587134888
Saints and Soldiers,2004,2181110.471148756
Off the Map,2005,2109471.0660522273
The Celluloid Closet,1996,2625344.1988527724
The Tax Collector,2020,1268548.117465224
The Fourth War,1990,3141325.0742157614
Babar The Movie,1989,3309280.587096774
8 Million Ways to Die,1986,3743867.1678832117
Eagle vs Shark,2007,336461.08248914615
Woman Thou Art Loosed On the 7th Day,2012,1782278.2787456445
Weekend in Taipei,2024,608034.0
Eddie Macon's Run,1983,4103614.4578313255
Touch and Go,1986,3729197.0802919706
The Legend of Rita,2001,1183331.654432524
"War, Inc.",2008,848225.7909893171
American Movie: The Making of Northwe…,1999,2189903.5678271307
Everybody Wins,1990,3125542.530986993
Radioland Murders,1994,2755900.5668016193
Anime nere,2014,133789.3536121673
Conversations with Other Women,2006,591711.4047619047
Paper Heart,2009,1867436.3300699298
The Perfect Candidate,2020,36607.91962905718
Undine,2020,96183.56105100462
Ryuichi Sakamoto Opus,2023,89309.41122415492
No Safe Spaces,2019,1588001.5705905356
The Business of Strangers,2001,1830159.50310559
Eklavya - The Royal Guard,2007,1956790.4138929087
Main Aurr Mrs. Khanna,2009,289017.8797202797
Gemma Bovery,2015,563903.5949367088
"En mai, fais ce qu'il te plaît",2015,50221.751898734175
Vox Lux,2018,910419.0107526882
29th Street,1991,2971266.9779735687
What Maisie Knew,2013,1437064.3776824032
Chalo Dilli,2011,101332.14050689194
Baaghi 3,2020,876431.3044822254
Festival Express,2004,1954105.0164107992
Assassination Tango,2003,1709845.604347826
Le temps de l'aventure,2013,101918.22489270385
Bread and Roses,2001,952369.2603049123
Chaar Sahibzaade 2: Rise of Banda Sin…,2016,917947.1299999999
La cité des enfants perdus,1995,2641550.0157480314
Retfærdighedens Ryttere,2021,89464.78228782286
Nightwatch,1998,2466045.585276074
I Spit on Your Grave,2010,134136.79229711142
Good Kill,2015,420622.09620253165
Tyut pei ba ba,2018,16691.62246117085
The Quintessential Quintuplets Movie …,2022,539216.9456781688
Roger Waters Us + Them,2019,731569.5768478686
The Celestine Prophecy,2006,1894292.75
The Cakemaker,2017,1121865.400244798
Ismach Hatani,2017,1540425.312117503
The Flying Scotsman,2007,260584.97250361793
Company Business,1991,2932744.8986784145
Twixt,2012,2733.1986062717765
Saving Face,2005,1911297.6466973885
Meerkats,2011,1182128.6224988883
Diana Vreeland: The Eye Has to Travel,2012,1375939.557491289
Looking for Richard,1996,2537676.894837476
Seberg,2020,544258.2287480679
City of Hope,1991,2919880.3524229075
Phat Beach,1996,2532723.4416826004
The General,1998,2423505.143558282
When a Stranger Calls,1979,5465415.2727272725
The Holy Girl,2005,489588.2519201228
The Abandoned,2007,1904181.117221418
Encounters at the End of the World,2008,1379874.2926149557
The Ward,2011,10848.128056914182
Honeyland,2019,1002197.0308955808
Walking the Camino: Six Ways to Santiago,2013,826773.4969957081
The Singles Ward,2002,2185941.5853251806
Outlander,2009,243316.2853146853
Juniper,2021,96178.55645756455
Master Gardener,2023,688351.3016081392
MVP: Most Valuable Primate,2000,2279940.4320557495
CS Lewis: The Most Reluctant Convert,2021,1397977.8597785975
L'avocat de la terreur,2007,72380.24891461649
Losin' It,1983,3933601.7108433736
Toutes nos envies,2012,30833.38327526132
Turn It Up,2000,2272509.491289199
The Comfort of Strangers,1991,2871612.3348017624
The Three Musketeers,1974,7932892.3326572
Beautifully Broken,2018,1514585.376344086
Scrapper,2023,220771.32917623894
Crush,2002,1889423.413007226
Et si on vivait tous ensemble?,2012,59128.01393728222
The Sparks Brothers,2021,752547.143911439
The Future,2011,794963.6851934192
Picture Bride,1995,2555851.2598425196
Nuit de Noces,2001,2198101.5923207225
"Car 54, Where Are You?",1994,2626534.089068826
Slow Burn,2007,1877019.565846599
Beyond the Mask,2015,1639780.3949367087
"Gas, Food Lodging",1992,2768449.9843193153
Turkey Shoot,1983,3894194.3855421687
The Dive,2023,6102.269773547752
Yi Yi,2000,2075507.4006968641
Slacker,1991,2833542.6960352426
The Act of Killing,2013,657027.1828326179
Avril et le monde truqué,2015,391989.14430379745
Romeo & Juliet,2013,1568808.7725321886
Inequality for All,2013,1626080.8480686692
Blue Giant,2023,275133.53462422057
Vital Signs,1990,2945798.1025248663
The Lonely Lady,1983,3861248.674698795
Dark Horse,2015,1247935.8481012657
StarDog and TurboCat,2019,98975.13648807196
Certain Women,2016,1399150.7399999998
Blackthorn,2011,280370.98799466423
Vaxxed: From Cover Up to Catastrophe,2016,1523877.15
Police,2020,648.7233384853167
Love at Large,1990,2920997.3068094873
A Time of Destiny,1988,3222366.12679628
I'm the One That I Want,2000,2210964.1393728224
The Thin Blue Line,1988,3215347.2730346574
Passages,2023,569171.3107975058
Attila Marcel,2013,34544.868669527896
The Hot Spot,1990,2901411.6541698547
Memoir of a Snail,2024,626410.0
Ma Ma,2015,62691.62531645569
Running Brave,1983,3802456.5060240966
ABCD 2,2015,1183487.8278481013
Trespass Against Us,2016,7481.409999999999
Pieces,1983,3782730.746987952
Darling Companion,2012,1086367.0243902437
"Beats, Rhymes & Life: The Travels of …",2011,1677609.881725211
Le Souffle au Coeur,1971,9315555.555555556
Summer Lovers,1982,3909637.3056994816
Phantom,2013,1396029.105579399
Sammy and Rosie Get Laid,1987,3310986.2535211267
Repentance,2014,1580118.3472750317
Hidden Agenda,1990,2387352.0183626628
High Hopes,1989,3023113.1999999997
The Royal Hotel,2023,805105.449294388
Dancers,1987,3294602.028169014
Me and Orson Welles,2009,1744228.1734265732
Indigo,2005,1915698.9247311826
Return to Horror High,1987,3293450.704225352
The Lair of the White Worm,1988,3160783.060016906
Ballets Russes,2005,1313377.4254992318
Kedarnath,2018,1118845.8016726403
Kill the Irishman,2011,1661041.3232547797
L'immensita,2022,111993.85582507687
Backstage,2000,2163055.567944251
Monica La Mitraille,2004,1967907.6590788777
Hirune-hime: Shiranai watashi no mono…,2017,61825.58629130967
Who Killed Bambi?,2004,23966.966649020644
Sarileru Neekevvaru,2020,997381.7619783615
Fiza,2000,1138907.6097560977
Still Mine,2013,1557785.8815450643
Casa de Areia,2006,841027.7976190476
Step,2017,1470396.5924112608
Destiny Turns on the Radio,1995,2420197.149606299
Valley of Love,2015,38003.92911392405
Flypaper,2011,7049.885282347709
Don't Tell Her it's Me,1990,2818683.8010711554
Permanent Midnight,1998,2258666.9595092023
God’s Not Dead: We the People,2021,1357821.6708487084
The Curse,1987,3237882.7183098593
The Remaining,2014,1553541.1204055767
Heights,2005,1864836.313364055
Get Crazy,1983,3688088.7710843375
Miller’s Girl,2024,321000.0
Groove,2000,2036320.599303136
The Burning Plain,2009,294216.83916083915
Hoje Eu Quero Voltar Sozinho,2014,134753.67300380228
Where Hope Grows,2015,1533529.1139240507
The Overnight,2015,1472251.6253164557
Goodbye Solo,2009,1277306.7972027971
King of California,2007,407159.3748191027
Haider,2014,1392210.2205323193
The Best Two Years,2004,1936414.399152991
Inch'Allah,2012,630421.2961672473
Reprise,2008,810205.7333952624
Tarnation,2004,985331.9301217576
To Sleep With Anger,1990,2793120.4590665647
Cousin Bette,1998,2239498.2036809814
The Final Season,2007,1758836.7120115773
The Face of Love,2013,519595.25150214584
Shower,2000,2113826.954703833
Chuck&Buck,2000,1927427.1916376308
Babyteeth,2020,5475.273570324574
Palo Alto,2014,1019750.4892268694
DAN DA DAN: First Encounter,2024,1052679.0
The Good Wife,1987,3196639.85915493
Paper Clips,2004,1867000.071995765
The Wrong Guys,1988,3063701.761622992
Get Real,1999,2174778.0216086432
Bure baruta,1999,2174778.0216086432
Excessive Force,1993,2506751.451903114
Blue Bayou,2021,914979.4095940958
Grace Is Gone,2007,75953.45875542691
Nightflyers,1987,3181279.647887324
Bienvenue parmi nous,2012,8095.52613240418
Trishna,2012,329162.8327526132
Gett: The Trial of Viviane Amsalem,2015,1310862.2784810127
The Son of No One,2011,42889.24855491329
Owning Mahowny,2003,1727583.5739130434
Lolita,1998,2213885.2122699386
Cartel Land,2015,934380.8810126582
December Boys,2007,70484.44573082488
He ni zai yi qi,2003,1956781.1739130435
Fuocoammare,2016,158422.22999999998
Liberal Arts,2012,437059.818815331
Sugar,2009,1585810.1482517482
A Different Man,2024,654254.0
L.I.E.,2001,2025518.8932806323
The Hollars,2016,1332250.3499999999
I Like It Like That,1994,2415277.230769231
Khoobsurat,2014,1402105.784537389
Loin des hommes,2015,7078.6430379746835
Wetherby,1985,3319467.9256505575
"Yoo-Hoo, Mrs. Goldberg",2009,1663055.8097902096
Arcadian,2024,828919.0
Tokyo!,2009,514559.20559440553
Sui Dhaaga: Made in India,2018,989938.045400239
Valmont,1989,2870167.7419354836
How I Live Now,2013,81447.14163090127
Love and Monsters,2020,1300743.7465224108
Half Moon Street,1986,3245546.03649635
Sholem Aleichem: Laughing in the Dark…,2011,1581451.571365051
Average Joe,2024,1129412.0
Wonderland,2003,1812092.2434782607
The Ballad of Jack and Rose,2005,1146672.9831029184
The Thief,1998,2172089.300613497
Mute Witness,1995,2322743.464566929
Cold Souls,2009,1326795.848951049
Camp Hideout,2023,1160824.2336724647
High Season,1988,2989856.2975486047
Descarrilados,2021,535.9881918819187
It’s A Wonderful Knife,2023,837661.8943222843
Hunk,1987,3101201.7464788733
Ammonite,2020,195503.83307573412
The Song of Names,2019,1324960.538130622
Freddie as F.R.O.7,1992,2508405.553813257
Street Smart,1987,3097260.676056338
A Price Above Rubies,1998,2157995.3079754603
True to the Game 2: Gena’s Story,2020,1357955.3137557958
Eating Raoul,1982,3632134.5077720205
Possession,1983,3515023.5662650606
Weeds,1987,3080959.4788732394
Left Luggage,2000,2032477.324041812
Living in Oblivion,1995,2293614.0157480314
The R.M.,2003,1899411.7173913042
Sordid Lives,2001,1972807.6295878033
Columbus,2017,1304685.6009791922
The Hummingbird Project,2019,457132.9276495894
Burn,2012,1518973.7560975607
The King of Masks,1999,2088957.7671068425
Where the Heart Is,1990,2661635.3481254783
Silk,2007,1672970.4775687407
The Heart Specialist,2011,1541995.699421965
1945,2017,1290077.7380660954
Mistress,1992,2470536.3763364214
Unconditional Love,1999,217404.01440576228
A Little Bit of Heaven,2012,13708.4425087108
The Beguiled,1971,8539259.25925926
Kafka,1991,2539207.04845815
Mike's Murder,1984,3328585.1780558224
Once Upon a Time in the Midlands,2003,293605.17391304346
Little Odessa,1995,2260802.125984252
Lay the Favorite,2012,28753.35888501742
Heart of Dixie,1989,2771311.761290322
Miracle Mile,1989,2770832.5548387095
Swimming to Cambodia,1987,3022225.352112676
Waterland,1992,2444548.5160370627
Slam,1998,1947773.580368098
L'Amour Fou,2011,436852.43930635834
Anvil! The Story of Anvil,2009,978980.039160839
Temptress Moon,1997,2124466.4224299067
84 Charing Cross Road,1987,2998661.957746479
Blood and Wine,1997,2122151.028037383
This is My Father,1999,2044294.4729891955
Dreamland,2020,497309.6105100463
For Sama,2019,53850.06804849433
The First Monday in May,2016,690990.94
Of Unknown Origin,1983,3410640.2409638558
Turtles Can Fly,2005,413440.02457757294
Kahlil Gibran's The Prophet,2015,451749.0227848101
The Eyes of Tammy Faye,2000,1879810.7456445994
One From the Heart,1982,3448749.711917098
The Road to Guantanamo,2006,509770.9047619048
Two Much,1996,2161234.493307839
Dead Man,1996,2054897.5602294456
"Aline, the voice of love",2021,774763.9704797047
Dinner Rush,2001,1133024.1038961038
Knight of Cups,2015,750853.529113924
Ain't Them Bodies Saints,2013,528422.739914163
Fanboys,2009,1007852.0727272726
Tideland,2006,103635.03571428571
Merci pour tout,2019,1316213.4063355494
From Beyond,1986,3069568.0948905107
Mohabbatein,2000,1953588.850174216
Illusions perdues,2021,146632.21549815495
50 to 1,2014,1420516.8466413182
Undiscovered,2005,1721421.2964669736
The Cup,2000,1949522.8292682928
Color Out of Space,2020,930032.3740340029
Page One: Inside the New York Times,2011,1491656.7505558024
Une nouvelle amie,2015,260386.8759493671
September Dawn,2007,1617582.6917510852
The Oogieloves in the BIG Balloon Adv…,2012,1459586.9372822298
Bad Moon,1996,2134936.3059273423
Dhoondte Reh Jaoge,2009,7514.819580419579
Extraction,2015,22253.41772151899
Nuovomondo,2007,1613172.2952243125
Becky,2020,1218302.4296754247
La Mission,2010,1532272.583218707
Yaadein,2001,1146139.7854319592
Shadow in the Cloud,2020,190646.91190108188
Oberst Redl,1985,6886.996282527881
The Shape of Things,2003,1251177.0130434781
Jake Speed,1986,3035130.394160584
Student of the Year 2,2019,957298.2025811498
Time Code,2000,1931222.9965156796
Le Dernier Tunnel,2004,1760238.8861831657
Before the Rains,2008,1514505.5420343706
My Wife is an Actress (Ma Femme est u…,2002,1845615.3818788214
Nordsjøen,2021,571.9527675276752
An Angel at My Table,1990,2536940.988523336
Francofonia,2015,407313.8227848101
"5150, Rue des Ormes",2009,1544834.081118881
Da-reun na-ra-e-suh,2012,34341.62717770034
The Ten Commandments,2007,1445087.3516642544
The Luzhin Defence,2001,1867246.6312817615
Bergman Island,2021,168442.99040590404
Ugly aur Pagli,2008,10750.640037157455
Light Sleeper,1992,2354887.3727726294
Au nom de ma fille,2016,2126.1299999999997
11th Hour,2007,1066903.4327062229
The Last Supper,1996,921256.1223709369
How to Blow Up a Pipeline,2023,773886.2618969479
Extreme Days,2001,1859687.5392433652
Nijinsky,1980,3996596.330097087
C't'a ton tour Laura Cadieux,1998,2017381.354601227
Money for Nothing,1993,2273305.6442906572
Un beau matin,2022,230370.2357362487
Hecho en México,2012,206952.15679442507
"Lo And Behold, Reveries Of The Connec…",2016,779334.7199999999
Kaante,2002,1819689.1784324623
Theeb,2015,375454.62278481014
